Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
綠舞國際觀光飯店,Others,104,3120,0.30,5289.05,4892371,3237924,9313698,1568.07,925,2019-09-30
義大皇家酒店,Kaohsiung,656,19680,0.51,2909.00,29235450,25762153,58015024,1485.54,10050,2019-09-30
台糖長榮酒店(台南),Others,197,5910,0.87,2316.29,11954356,20305090,33767942,2022.73,5161,2019-06-30
雲品溫泉酒店日月潭,Scenery,211,6330,0.70,8137.31,36048292,20683219,60494522,5694.83,4430,2019-06-30
墾丁怡灣渡假酒店,Scenery,175,5425,0.21,2672.00,3035615,718965,3898980,559.52,1136,2019-03-31
台東桂⽥喜來登酒店,Others,290,8120,0.42,4718.00,15980744,10835712,27651014,1967.88,3387,2019-02-28
漢來⼤飯店,Kaohsiung,535,16050,0.80,2970.00,38239765,63274351,118215254,2382.83,12877,2019-04-30
新竹國賓大飯店,Taoyuan-Hsinchu-Miaoli,257,7967,0.74,3027.26,17927440,33299955,56233852,2250.21,5922,2019-10-31
花蓮亞士都飯店,Hualien,167,5177,0.39,1311.23,2650000,1232565,3904430,511.88,2021,2019-10-31
⻄華⼤飯店,Taipei,343,10290,0.80,4372.00,36059143,17315187,58694859,3504.16,8247,2019-04-30
麗尊⼤酒店,Kaohsiung,198,6138,0.64,2195.00,8636135,21249217,31594009,1407.21,3935,2019-01-31
⽇⽉⾏館,Scenery,92,2576,0.29,13361.00,9953856,2159772,12498633,3864.00,745,2019-02-28
香格⾥拉台北遠東國際⼤飯店,Taipei,420,12600,0.80,6128.00,61746648,68602367,149323169,4900.56,10076,2019-11-30
華泰王子大飯店,Taipei,204,6120,0.72,2739.80,12107161,9103932,23465006,1978.29,4419,2019-09-30
台東桂⽥喜來登酒店,Others,290,8700,0.40,2939.00,10316994,11408339,22560171,1185.59,3510,2019-04-30
台北花園⼤酒店,Taipei,241,7471,0.93,2346.00,16215930,28505878,48894672,2170.52,6912,2019-01-31
老爺大酒店,Taipei,202,6262,0.96,5220.10,30323574,26326859,63468953,5003.89,5809,2019-12-31
龍⾕⼤飯店,Scenery,189,5670,0.38,1866.00,4040852,1455176,5815294,712.44,2165,2019-11-30
圓山大飯店,Taipei,500,15000,0.63,3850.81,36305433,50712548,97595589,2420.36,9428,2019-09-30
花蓮亞⼠都飯店,Hualien,168,4704,0.33,1956.00,3019333,855330,3889663,641.96,1544,2019-02-28
第一⼤飯店,Taipei,176,5280,0.75,1629.00,6468208,4632265,30711270,1224.85,3970,2019-11-30
台北有園飯店,Taipei,56,1736,0.85,2584.59,3814860,406699,4299888,2197.50,1476,2019-08-31
海灣藝術酒店,Taichung,226,7006,0.30,1478.73,3120120,293800,3476810,445.35,2110,2019-07-31
寒舍艾麗酒店,Taipei,234,7020,0.85,6440.00,38273501,17491110,61387258,5452.10,5943,2019-04-30
香格里拉台北遠東國際大飯店,Taipei,420,13020,0.80,6128.09,61746648,68602367,149323169,4900.53,10076,2019-12-31
亞都麗緻大飯店,Taipei,209,6479,0.74,3934.99,18872213,11881848,35610155,2912.83,4796,2019-08-31
香格里拉台北遠東國際大飯店,Taipei,420,13020,0.72,6001.43,56563487,48829324,120980539,4344.35,9425,2019-08-31
高雄福華大飯店,Kaohsiung,271,8401,0.81,2188.84,14884101,16691505,35015124,1771.71,6800,2019-07-31
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,6448,0.68,3050.39,13394244,11834198,26646444,2077.27,4391,2019-07-31
華王大飯店,Kaohsiung,297,8910,0.29,1450.20,3741522,1979118,5796083,419.92,2580,2019-06-30
龍⾕⼤飯店,Scenery,189,5670,0.23,1917.00,2486422,605763,3442340,438.42,1297,2019-04-30
名都觀光渡假大飯店,Scenery,97,3007,0.61,946.83,1690089,3190115,5011206,580.79,1785,2019-12-31
台北諾富特華航桃園機場飯店,Taoyuan-Hsinchu-Miaoli,516,15996,0.79,2732.94,33322713,24130904,62870335,2152.63,12193,2019-12-31
新⽵喜來登⼤飯店,Taoyuan-Hsinchu-Miaoli,386,11966,0.86,3787.00,38915021,38610745,88689307,3251.90,10275,2019-03-31
Total,Total,29498,884940,0.68,3817.93,2303436301,1805482426,4622245655,2602.93,603321,2019-04-30
美麗春天⼤飯店,Others,34,952,0.32,2323.00,710879,218902,929781,746.61,306,2019-02-28
漢來⼤飯店,Kaohsiung,535,16585,0.67,3065.00,34299883,81789249,133397485,2067.96,11190,2019-01-31
君鴻國際酒店,Kaohsiung,585,17550,0.62,2192.14,23979816,24100868,59418676,1366.37,10939,2019-06-30
台南大員皇冠假日酒店,Others,231,7161,0.44,3027.17,9435702,11290190,23057727,1317.65,3117,2019-05-31
華園大飯店,Kaohsiung,269,8339,0.78,1415.89,9244332,2519765,12568813,1108.57,6529,2019-07-31
洛碁⼤飯店花華本館,Taipei,112,3472,0.93,1855.00,5988656,0,5988656,1725.15,3229,2019-03-31
墾丁福華渡假飯店,Scenery,458,14198,0.60,2473.00,21137463,9775159,32933117,1488.75,8547,2019-01-31
慶泰⼤飯店,Taipei,150,4650,0.66,2791.00,8620002,9021292,18147836,1853.50,3088,2019-01-31
⻑榮桂冠酒店(基隆),Others,140,4200,0.86,2517.00,9125765,5833658,17825046,2172.42,3625,2019-11-30
華泰王子大飯店,Taipei,198,6138,0.69,2684.64,11329200,8938989,22524792,1845.75,4220,2019-08-31
華泰王子大飯店,Taipei,205,6355,0.65,2862.09,11829038,10413846,25674197,1861.37,4133,2019-05-31
晶英國際⾏館,Kaohsiung,147,4116,0.33,6900.00,9287785,12054769,23942454,2256.30,1346,2019-02-28
遠雄悅來大飯店,Hualien,381,11811,0.42,2834.82,13969998,11414325,29515179,1182.80,4928,2019-05-31
裕元花園酒店,Taichung,149,4619,0.81,3215.00,12072386,33325514,50518071,2613.47,3755,2019-01-31
台北美福⼤飯店,Taipei,146,4526,0.66,6581.00,19632299,62187318,87781891,4337.54,2983,2019-03-31
Total,Total,29420,823760,0.64,4046.63,2124900522,2202112505,4882778853,2579.51,525104,2019-02-28
台北寒舍艾美酒店,Taipei,160,4960,0.77,8459.90,32409867,51022559,97272465,6534.25,3831,2019-07-31
晶英國際行館,Kaohsiung,147,4410,0.30,5893.50,7797100,11303763,22116476,1768.05,1323,2019-09-30
圓山大飯店,Taipei,500,15500,0.84,3946.88,51348947,59346684,122192902,3312.84,13010,2019-08-31
台北中山雅樂軒酒店,Taipei,88,2640,0.84,4188.00,9335050,683278,11186275,3536.00,2229,2019-09-30
台北凱撒大飯店,Taipei,478,14340,0.85,3530.48,43043624,16431389,64554631,3001.65,12192,2019-09-30
碧特弗⼤飯店,Others,54,1674,0.24,2164.00,874410,127507,1001917,522.17,404,2019-01-31
馥藝金鬱金香酒店,Taoyuan-Hsinchu-Miaoli,191,5921,0.55,1692.57,5541459,4949664,10845967,935.90,3274,2019-05-31
大億麗緻酒店,Others,315,9765,0.73,3081.71,22043438,19225537,45889193,2257.39,7153,2019-07-31
墾丁福華渡假飯店,Scenery,458,13740,0.59,2541.00,20751935,10524728,33058846,1510.12,8166,2019-11-30
神旺⼤飯店,Taipei,268,8040,0.90,2247.00,16343614,28358942,48199568,2032.64,7273,2019-11-30
古華花園飯店,Taoyuan-Hsinchu-Miaoli,255,7905,0.88,2922.98,20221192,20559803,42819235,2558.03,6918,2019-08-31
⽇⽉⾏館,Scenery,92,2852,0.34,11053.00,10666145,1696832,12449747,3740.34,965,2019-01-31
台北美福⼤飯店,Taipei,146,4380,0.57,6615.00,16503886,49825269,71032124,3767.90,2495,2019-04-30
澎湖福朋喜來登酒店,Others,331,10261,0.30,2125.30,6369537,10013216,18318230,641.44,2997,2019-12-31
