Hotel,Area,Room,Supply,Occupancy,ADR,Room_Revenue,F&B_Revenue,Total_Revenue,RevPAR,Demand,Date
寶華大飯店,Others,78,2418,0.21,2062.34,1037359,5640,1044999,429.02,503,8/1/2019
尊爵大飯店,Taoyuan-Hsinchu-Miaoli,231,7161,0.74,2315.01,12195451,15418336,29394202,1703.04,5268,8/1/2019
尊爵天際⼤飯店,Taoyuan-Hsinchu-Miaoli,250,7750,0.82,2301.58,14714024,22229983,37287588,1898.58,6393,8/1/2019
山泉大飯店,Others,167,5177,0.35,2064.96,3692142,649606,4570261,713.18,1788,8/1/2019
幼獅大飯店,Others,53,1643,0.04,8725,523500,0,566060,318.62,60,8/1/2019
康華⼤飯店,Taipei,215,6665,0.63,2320.38,9666710,10732006,21033606,1450.37,4166,8/1/2019
悅川酒店,Others,103,3193,0.81,3955.01,10211847,7658670,17870517,3198.2,2582,8/1/2019
慶泰大飯店,Taipei,150,4650,0.84,2670.07,10405278,5241407,16320227,2237.69,3897,8/1/2019
新⽵喜來登⼤飯店,Taoyuan-Hsinchu-Miaoli,386,11966,0.85,3179.28,32387306,36556380,78310500,2706.61,10187,8/1/2019
新竹國賓大飯店,Taoyuan-Hsinchu-Miaoli,257,7967,0.74,3007.97,17683847,29973381,51912124,2219.64,5879,8/1/2019
新竹老爺大酒店,Taoyuan-Hsinchu-Miaoli,208,6448,0.68,3181.87,14041593,12905565,28314969,2177.67,4413,8/1/2019
日勝生加賀屋國際溫泉飯店,Taipei,90,2790,0.59,4826.44,7987759,6484433,18783276,2863,1655,8/1/2019
⽇⽉⾏館,Scenery,92,2852,0.34,10021.27,9730653,2739207,12678288,3411.87,971,8/1/2019
晶悅國際飯店,Taoyuan-Hsinchu-Miaoli,388,12028,0.71,1811.51,15578993,9950645,27085756,1295.23,8600,8/1/2019
晶英國際⾏館,Kaohsiung,147,4557,0.3,6332.91,8682425,10604651,21920887,1905.29,1371,8/1/2019
